"true_match_num","version_a","version_b","unigrams_bill_in_law","bigrams_bill_in_law","trigrams_bill_in_law","fourgrams_bill_in_law","tengrams_bill_in_law","twentygrams_bill_in_law","wdiff_bill_in_law","sw1","sw5","sw10","sw15","sw20","true_match_num2"
4,"111-S-183-IS","111-HR-146-ENR",1,1,0.98,0.98,0.91,0.82,0.13,0.989,0.983,0.983,0.983,0.983,1
4,"111-S-22-ES","111-HR-146-ENR",1,1,1,1,1,0.99,1,1,1,1,1,1,1
4,"111-HR-365-IH","111-HR-146-ENR",1,0.99,0.97,0.96,0.89,0.8,0.1,0.98,0.979,0.979,0.979,0.979,1
3,"111-HR-926-IH","111-HR-146-ENR",1,0.99,0.97,0.96,0.89,0.8,0.1,0.989,0.989,0.989,0.989,0.989,1
4,"111-S-161-IS","111-HR-146-ENR",1,0.99,0.97,0.96,0.9,0.81,0.06,0.999,0.999,0.999,0.999,0.994,1
4,"111-S-172-IS","111-HR-146-ENR",1,0.99,0.97,0.96,0.92,0.87,0.1,0.978,0.977,0.977,0.977,0.977,1
3,"111-S-180-IS","111-HR-146-ENR",1,0.99,0.97,0.96,0.89,0.8,0.1,0.989,0.989,0.989,0.989,0.989,1
3,"111-S-185-IS","111-HR-146-ENR",1,0.99,0.97,0.95,0.88,0.78,0.16,0.988,0.988,0.988,0.988,0.988,1
4,"111-HR-280-IH","111-HR-146-ENR",1,0.98,0.97,0.96,0.91,0.86,0.13,0.988,0.988,0.981,0.981,0.981,1
4,"111-HR-366-IH","111-HR-146-ENR",1,0.98,0.97,0.95,0.9,0.85,0.11,0.97,0.968,0.968,0.968,0.968,1
4,"111-HR-367-IH","111-HR-146-ENR",1,0.98,0.96,0.95,0.87,0.77,0.11,0.994,0.993,0.993,0.993,0.993,1
4,"111-HR-372-IH","111-HR-146-ENR",1,0.98,0.96,0.95,0.86,0.74,0.06,0.999,0.999,0.999,0.994,0.994,1
4,"111-HR-867-IH","111-HR-146-ENR",1,0.98,0.96,0.96,0.93,0.93,0.15,0.935,0.935,0.935,0.935,0.935,1
