"MemberID","cMem","cChair","cRank","sChair","sRank"
"29389-103-100","['HSIF', 'HSFA', 'HSPO']","[]","[]","[]","[]"
"29389-104-100","['HSIF', 'HSFA']","[]","[]","[]","[]"
"29389-105-100","['HSIF', 'HSFA']","[]","[]","[]","[]"
"29389-106-100","['HSIF', 'HSFA']","[]","[]","[]","['HSIF99']"
"29389-107-100","['HSIF', 'HSFA']","[]","[]","[]","['HSIF99']"
"29389-108-100","['HSIF', 'HSFA']","[]","[]","[]","['HSIF99']"
"29389-109-100","['HSIF', 'HSFA']","[]","[]","[]","['HSIF99']"
"29389-112-100","['SSAF', 'SSAP', 'SSBK', 'SSVA', 'SPOC']","[]","[]","['SSBK99']","[]"
"29389-110-100","['SSAF', 'SSBK', 'SSHR', 'SSVA']","[]","[]","[]","[]"
"29389-111-100","['SSAF', 'SSBK', 'SSHR', 'SSVA', 'SPOC']","[]","[]","['SSAF99', 'SSBK99']","[]"
"39310-103-100","['HSFA', 'HSMM', 'HSPW']","[]","[]","[]","[]"
"39310-107-100","['SSEG', 'SSJU', 'SSSB', 'SLIA']","[]","[]","[]","[]"
"39310-108-100","['SSCM', 'SSEG', 'SSSB', 'SLIA']","[]","[]","[]","[]"
"39310-109-100","['SSCM', 'SSEG', 'SSSB', 'SLIA']","[]","[]","[]","['SSCM99']"
"39310-112-100","['SSCM', 'SSEG', 'SSFI', 'SSSB', 'SLIA']","[]","[]","['SSCM99', 'SSEG99']","[]"
"39310-110-100","['SSCM', 'SSEG', 'SSFI', 'SSSB', 'SLIA']","[]","[]","['SSCM99']","[]"
"39310-111-100","['HSGO', 'SSCM', 'SSEG', 'SSFI', 'SSSB', 'SLIA']","[]","[]","['SSCM99', 'SSEG99']","[]"
"15408-103-100","['HSHA', 'HSSO', 'HSWM']","[]","[]","[]","[]"
"15408-104-100","['HSSO', 'HSWM']","[]","[]","[]","[]"
"15408-105-100","['HSBU', 'HSWM']","[]","[]","[]","[]"
"15408-106-100","['HSWM']","[]","[]","[]","['HSWM99']"
"15408-107-100","['HSWM']","[]","[]","[]","['HSWM99']"
"15408-108-100","['HSWM', 'HSHM']","[]","[]","[]","['HSWM99']"
"15408-109-100","['HSWM']","[]","[]","[]","['HSWM99']"
"15408-112-100","['SSBU', 'SSEV', 'SSFI', 'SSFR', 'SSSB']","[]","[]","['SSEV99', 'SSFR99']","[]"
"15408-110-100","['SSBU', 'SSEV', 'SSFR', 'SSJU', 'SSSB']","[]","[]","[]","[]"
"15408-111-100","['SSBU', 'SSEV', 'SSFR', 'SSJU', 'SSSB']","[]","[]","['SSEV99', 'SSJU99']","[]"
"15015-107-100","['SSBK', 'SSEG', 'SSEV', 'SSGA', 'SPAG']","[]","[]","[]","[]"
"15015-108-100","['SSBK', 'SSEV', 'SSGA', 'SPAG']","[]","[]","[]","['SSEV99']"
"15015-109-100","['SSBK', 'SSEV', 'SSGA', 'SPAG']","[]","[]","[]","['SSEV99', 'SSGA99']"
"15015-112-100","['SSEV', 'SSFI', 'SSGA']","[]","[]","['SSEV99', 'SSGA99']","[]"
